question,scale,construct,reverse,start_scale,scale_2,scale_3,scale_4,end_scale,extra_text
"I have had thoughts of being rejected, humiliated, embarrassed, ridiculed or offending others ",SAD_D,anxiety,0,Never ,Occasionally,Half of the time,Most of the time,All of the time,
"I have felt a racing heart, sweaty, trouble breathing, faint, or shaky in social situations ",SAD_D,anxiety,0,Never ,Occasionally,Half of the time,Most of the time,All of the time,
"I have felt tense muscles, on edge or restless, or trouble relaxing in social situations ",SAD_D,anxiety,0,Never ,Occasionally,Half of the time,Most of the time,All of the time,
"I have avoided, or did not approach or enter, social situations ",SAD_D,anxiety,0,Never ,Occasionally,Half of the time,Most of the time,All of the time,
"I have left social situations early or participated only minimally (e.g. said little, avoided eye contact) ",SAD_D,anxiety,0,Never ,Occasionally,Half of the time,Most of the time,All of the time,
I have spent a lot of time preparing what to say or how to act in social situations ,SAD_D,anxiety,0,Never ,Occasionally,Half of the time,Most of the time,All of the time,
I have distracted myself to avoid thinking about social situations ,SAD_D,anxiety,0,Never ,Occasionally,Half of the time,Most of the time,All of the time,
"I have needed help to cope with social situations (e.g. alcohol or medications, superstitious objects)",SAD_D,anxiety,0,Never ,Occasionally,Half of the time,Most of the time,All of the time,
In the past 7 days.. I felt fearful ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt frightened,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. It scared me when I felt nervous ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt anxious ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt like I needed help for my anxiety,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I was concerned about my mental health ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt upset,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had a racing or pounding heart,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I was anxious if my normal routine was disturbed ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had sudden feelings of panic ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I was easily startled ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had trouble paying attention,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I avoided public places or activities ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt fidgety,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt something awful would happen,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt worried,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt terrified,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I worried about other people's reactions to me,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I found it hard to focus on anything other than my anxiety,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. My worries overwhelmed me ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had twitching or trembling muscles ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt nervous ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt indecisive ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. Many situations made me worry ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had difficulty sleeping ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had trouble relaxing ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt uneasy ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt tense ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had difficulty calming down ,PROMIS_A,anxiety,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt worthless,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt that I had nothing to look forward to ,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt helpless,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I withdrew from other people,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt that nothing could cheer me up,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt that I was not as good as other people,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt sad,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt that I wanted to give up on everything,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt that I was to blame for things,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt like a failure,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had trouble feeling close to people,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt disappointed in myself,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt that I was not needed,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt lonely,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt depressed,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I had trouble making decisions,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt discouraged about the future,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I found that things in my life were overwhelming,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt unhappy,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt I had no reason for living,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt hopeless,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt ignored by people,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt upset for no reason,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt that nothing was interesting,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt pessimistic,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt that my life was empty,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt guilty,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
In the past 7 days.. I felt emotionally exhausted,PROMIS_D,depression,0,Never,Rarely,Sometimes,Often,Always,
